,index,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
44,47,Oregon,5514.344018,No,Basic,High School or Below,2011-01-02,Employed,F,23218.0,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,447.79344,Two-Door Car,Medsize
45,48,California,3343.875326,No,Extended,Bachelor,2011-02-07,Unemployed,F,0.0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize
46,49,Arizona,2294.478927,No,Basic,High School or Below,2011-01-18,Unemployed,F,0.0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,313.023175,Four-Door Car,Medsize
47,52,Nevada,7983.431709,No,Basic,High School or Below,2011-02-21,Employed,F,36014.0,Rural,Married,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,173.956072,Four-Door Car,Medsize
48,53,Washington,4854.745666,No,Basic,Bachelor,2011-02-16,Employed,M,29834.0,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,Medsize
49,54,California,4293.997319,No,Premium,Bachelor,2011-01-17,Disabled,M,16701.0,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,831.625979,Four-Door Car,Small
50,55,Arizona,7164.395543,No,Extended,College,2011-02-05,Employed,F,46623.0,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Small
51,56,California,7619.5158,No,Basic,College,2011-02-13,Employed,M,64749.0,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,302.56519,Four-Door Car,Medsize
52,57,Arizona,3958.002823,No,Basic,High School or Below,2011-02-23,Unemployed,F,0.0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,484.8,SUV,Small
53,58,Oregon,4499.493252,No,Extended,High School or Below,2011-01-28,Disabled,F,16969.0,Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,704.768111,SUV,Medsize
54,59,Oregon,4059.567414,No,Premium,Master,2011-02-28,Disabled,F,11621.0,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize
55,60,Arizona,4458.113369,Yes,Basic,Bachelor,2011-01-02,Retired,M,17622.0,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,312.0,Four-Door Car,Medsize
56,61,California,8110.333139,No,Premium,Bachelor,2011-01-22,Medical Leave,F,11489.0,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504.0,Two-Door Car,Small
57,62,Oregon,3339.764873,No,Extended,Bachelor,2011-01-15,Unemployed,M,0.0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.327324,Two-Door Car,Small
58,64,Arizona,6613.973653,No,Basic,Bachelor,2011-01-23,Unemployed,F,0.0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,Large
59,65,Washington,2930.693543,No,Basic,College,2011-01-31,Employed,M,33663.0,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize
60,66,Oregon,8672.194272,No,Basic,College,2011-01-26,Employed,F,22547.0,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize
61,67,Arizona,11638.66926,No,Extended,High School or Below,2011-01-10,Employed,F,61486.0,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.258644,Two-Door Car,Small
62,68,Oregon,6846.150323,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,0.0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456.0,Two-Door Car,Large
63,69,California,11727.77648,No,Premium,College,2011-01-09,Disabled,F,29879.0,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.254235,Four-Door Car,Medsize
64,70,Oregon,22643.83478,No,Basic,High School or Below,2011-02-24,Employed,M,93011.0,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize
65,71,Oregon,2614.474305,No,Basic,Master,2011-02-11,Employed,M,65186.0,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.434505,Two-Door Car,Large
66,72,Oregon,2451.752695,No,Basic,Master,2011-02-12,Medical Leave,M,26840.0,Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize
67,73,Oregon,6781.270203,No,Basic,Bachelor,2011-02-04,Unemployed,M,0.0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Offer1,Agent,982.399613,Sports Car,Medsize
68,74,Oregon,4974.801539,Yes,Basic,Bachelor,2011-01-18,Employed,M,75644.0,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,467.803638,Two-Door Car,Medsize
69,75,Oregon,8591.604933,No,Basic,Bachelor,2011-02-11,Employed,M,38984.0,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small
70,76,Oregon,5592.161392,No,Basic,High School or Below,2011-02-01,Employed,F,71811.0,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03416,Four-Door Car,Medsize
71,77,Nevada,8009.472833,No,Basic,College,2011-02-15,Employed,M,20961.0,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize
72,78,Washington,11318.08982,No,Extended,College,2011-02-06,Employed,M,38923.0,Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,115.728852,Four-Door Car,Medsize
73,80,California,8025.229358,No,Extended,College,2011-01-26,Unemployed,F,0.0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.807685,Two-Door Car,Large
74,81,California,5780.182197,Yes,Basic,High School or Below,2011-02-26,Employed,M,51066.0,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.993313,Four-Door Car,Medsize
75,82,California,4118.539113,No,Basic,Doctor,2011-01-27,Employed,M,34378.0,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize
76,83,Nevada,2523.07015,No,Basic,Master,2011-01-16,Employed,M,43072.0,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large
77,84,Oregon,6554.216396,No,Extended,College,2011-01-27,Disabled,F,25222.0,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.623251,Four-Door Car,Small
78,85,Washington,7703.397294,No,Basic,High School or Below,2011-02-28,Employed,M,36765.0,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,Medsize
79,86,California,5926.729379,Yes,Extended,College,2011-01-25,Retired,M,23091.0,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize
80,87,California,2683.470677,No,Basic,Bachelor,2011-01-01,Employed,F,48269.0,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.151207,Four-Door Car,Medsize
81,88,Oregon,2695.182419,No,Basic,Bachelor,2011-02-01,Employed,F,32720.0,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize
82,89,California,6047.02516,Yes,Extended,College,2011-02-19,Employed,M,20396.0,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize
83,90,Oregon,13171.01282,No,Premium,College,2011-01-27,Medical Leave,M,21513.0,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.827592,Two-Door Car,Small
84,91,Washington,10656.88195,Yes,Extended,Bachelor,2011-02-27,Employed,F,72540.0,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.743039,Two-Door Car,Medsize
85,92,Oregon,2527.653796,No,Basic,Bachelor,2011-01-17,Employed,F,80744.0,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.879037,Four-Door Car,Medsize
86,93,Oregon,2672.095756,No,Basic,Bachelor,2011-02-10,Employed,M,52822.0,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.529033,Two-Door Car,Small
87,94,California,5313.294035,No,Extended,High School or Below,2011-01-24,Unemployed,F,0.0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.3947,Four-Door Car,Medsize
88,95,Oregon,20946.19251,No,Basic,Bachelor,2011-02-24,Employed,F,69738.0,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large
89,96,Arizona,8375.353929,No,Basic,Master,2011-02-15,Medical Leave,F,17780.0,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.588288,SUV,Medsize
90,97,California,4801.661503,No,Basic,Bachelor,2011-02-16,Medical Leave,M,18107.0,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize
91,98,Arizona,5745.94334,No,Basic,Bachelor,2011-01-22,Employed,F,57740.0,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize
92,99,Oregon,6066.115969,No,Extended,College,2011-02-25,Employed,M,32627.0,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,Small
93,100,California,8002.308333,Yes,Basic,College,2011-01-11,Unemployed,F,0.0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize
94,101,California,2393.915369,Yes,Basic,College,2011-01-31,Unemployed,M,0.0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize
95,102,Oregon,4762.8179,No,Basic,Bachelor,2011-01-12,Employed,M,65795.0,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.011099,Two-Door Car,Medsize
96,103,California,4330.38602,Yes,Premium,College,2011-02-16,Employed,M,60475.0,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize
97,104,California,9402.729769,No,Extended,High School or Below,2011-02-09,Unemployed,F,0.0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936.0,SUV,Medsize
98,105,Oregon,6966.694527,No,Extended,Bachelor,2011-01-19,Employed,F,41837.0,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.062768,Four-Door Car,Small
99,106,California,7694.064293,No,Basic,Bachelor,2011-01-04,Employed,F,32303.0,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.152521,Four-Door Car,Medsize
100,107,Oregon,8717.561149,No,Basic,High School or Below,2011-01-09,Unemployed,M,0.0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize
101,108,California,5928.748528,No,Basic,Bachelor,2011-01-27,Employed,F,40531.0,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.567357,Two-Door Car,Medsize
102,109,Oregon,2452.977288,No,Basic,College,2011-02-14,Employed,M,79898.0,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize
103,110,California,6701.571657,No,Extended,College,2011-02-27,Employed,M,56398.0,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408.0,Four-Door Car,Small
104,111,Washington,7556.24034,No,Extended,High School or Below,2011-02-12,Employed,M,35257.0,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small
105,112,Arizona,8492.6988,No,Basic,College,2011-02-26,Employed,M,27804.0,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize
106,113,Oregon,7713.494046,No,Basic,Bachelor,2011-02-20,Employed,M,45506.0,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize
107,115,California,7290.069769,No,Basic,High School or Below,2011-02-15,Unemployed,M,0.0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize
108,116,Oregon,4772.943848,Yes,Extended,High School or Below,2011-02-18,Retired,M,20993.0,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize
109,117,Arizona,6806.491395,No,Extended,High School or Below,2011-01-21,Employed,M,37839.0,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.633954,Two-Door Car,Medsize
110,118,California,2469.781334,No,Basic,Bachelor,2011-01-15,Employed,F,92711.0,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize
111,119,California,3103.923041,No,Extended,College,2011-02-05,Employed,F,74665.0,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.902001,Four-Door Car,Medsize
112,120,Washington,2981.875575,No,Extended,College,2011-02-24,Unemployed,M,0.0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize
113,121,California,8902.737595,No,Basic,Bachelor,2011-01-05,Employed,M,46833.0,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.109663,Sports Car,Medsize
114,122,Oregon,5499.447223,No,Basic,High School or Below,2011-01-28,Employed,F,88768.0,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small
115,123,California,15023.59858,No,Basic,High School or Below,2011-01-12,Employed,M,28262.0,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize
116,124,Nevada,2509.107875,No,Basic,Bachelor,2011-02-16,Employed,F,33555.0,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize
117,126,Oregon,3133.503432,No,Extended,Master,2011-02-07,Employed,F,58850.0,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.747794,Four-Door Car,Medsize
118,127,Arizona,3837.451863,No,Extended,College,2011-01-13,Employed,M,21880.0,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.077159,Four-Door Car,Medsize
119,128,Oregon,11790.49617,Yes,Basic,College,2011-01-03,Retired,M,25251.0,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
120,129,Washington,7838.068321,No,Basic,Master,2011-02-17,Unemployed,F,0.0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.704934,Four-Door Car,Medsize
121,130,Arizona,4305.808345,No,Basic,High School or Below,2011-01-21,Employed,M,24188.0,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize
122,131,Nevada,5973.976904,No,Basic,Bachelor,2011-01-26,Employed,F,41611.0,Rural,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.801497,Four-Door Car,Medsize
123,132,Oregon,5670.442396,No,Basic,Bachelor,2011-01-31,Employed,F,28406.0,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.87572,Four-Door Car,Medsize
124,133,Arizona,4731.749346,No,Premium,College,2011-01-02,Employed,M,69833.0,Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.662719,Four-Door Car,Small
125,134,Arizona,8026.379641,No,Basic,High School or Below,2011-02-07,Unemployed,F,0.0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.8,Four-Door Car,Small
126,135,Arizona,4022.963529,No,Basic,High School or Below,2011-01-26,Unemployed,M,0.0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,975.107098,SUV,Medsize
127,136,Oregon,9618.310865,No,Basic,High School or Below,2011-01-11,Employed,F,80536.0,Rural,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.798708,Sports Car,Medsize
128,137,Washington,2274.775451,No,Basic,College,2011-01-15,Unemployed,F,0.0,Suburban,Single,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.642452,Four-Door Car,Small
129,138,Oregon,9552.926922,No,Extended,College,2011-02-08,Employed,F,97732.0,Urban,Married,79,0,70,0,2,Personal Auto,Personal L3,Offer4,Branch,289.9122,Four-Door Car,Medsize
130,139,Arizona,10388.55323,No,Extended,Bachelor,2011-01-11,Employed,F,61222.0,Urban,Single,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small
131,140,Oregon,2470.121222,No,Basic,College,2011-01-09,Unemployed,M,0.0,Suburban,Single,74,7,20,0,1,Personal Auto,Personal L1,Offer4,Web,721.242206,Two-Door Car,Large
132,141,Arizona,5619.068508,No,Premium,Master,2011-02-04,Employed,M,50335.0,Urban,Married,140,9,54,0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52385,SUV,Medsize
133,142,California,9047.119209,No,Extended,High School or Below,2011-01-21,Unemployed,F,0.0,Suburban,Single,127,30,11,0,6,Personal Auto,Personal L2,Offer3,Branch,1087.995426,Sports Car,Medsize
134,143,Washington,6692.143668,No,Premium,High School or Below,2011-02-16,Employed,M,63221.0,Suburban,Married,168,28,49,0,1,Corporate Auto,Corporate L3,Offer3,Agent,806.4,SUV,Medsize
135,144,Oregon,3731.504584,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,0.0,Suburban,Married,96,31,34,0,1,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Large
136,145,Nevada,3660.770258,No,Extended,Bachelor,2011-01-18,Employed,M,64495.0,Urban,Married,92,34,30,0,1,Corporate Auto,Corporate L2,Offer4,Web,251.992083,Four-Door Car,Medsize
